COUNTRY,CATEGORY_TITLE,TOTAL_VIEWS,TOTAL_LIKES,TOTAL_DISLIKES,TOTAL_COMMENTS,RK
DE,People & Blogs,19436702702,982747391,29713741,46889358,3
JP,People & Blogs,9926658604,356374080,6587957,23040036,3
US,Gaming,38792528568,2133688005,36186120,168756436,3
GB,Gaming,31878388652,1817568703,30440427,135128343,3
KR,People & Blogs,13515625109,510986481,10345529,46806347,3
MX,Gaming,22537854653,1701393011,27652395,95092343,3
IN,People & Blogs,29447709750,1701580352,40224435,72419243,3
RU,People & Blogs,8012856672,614397280,18966570,50941699,3
BR,People & Blogs,13300888918,1219498587,22075278,45090514,3
CA,Gaming,36677437270,2054166219,33989411,153911978,3
FR,Sports,7866547047,200338481,5126913,16132182,3
